Title,Subtitle,Hours,Address,Empfehlungen,Rating
Juri Betcher,Kleintierpraxis,Heute geschlossen,"Steinkühlerweg 84, 44263 Dortmund",16 Empfehlungen,5
 Efrat Bahat-Treidel,Tierarztpraxis Treidel ,Heute geschlossen,"Hugo Cassirer Str.38 / Sigmund - Bergmann Str. 10, 13587 Berlin",15 Empfehlungen,5
Laura Broschek und Sven Stahlhut,Tierarztpraxis Am Westend,Heute: 10:00–13:00Jetzt geöffnet,"Sophie-Charlotten-Str. 22, 14059 Berlin",14 Empfehlungen,5
Dr. Michael Foerster,no subtitle,Heute: 10:00–12:00Jetzt geöffnet,"Birkenstr. 58, 10559 Berlin",13 Empfehlungen,5
Jürgen Pötter und Eva Kirsch,no subtitle,Heute: 10:00–12:00Jetzt geöffnet,"Kopernikusstr. 4a, 30167 Hannover",12 Empfehlungen,5
Dr. med. vet. Maria Steigmann,VetZentrum Praxis für Kleintiere,Heute: 10:00–12:00Jetzt geöffnet,"Wentorfer Str. 101, 21029 Hamburg",12 Empfehlungen,5
Ragna Windisch,no subtitle,Heute geschlossen,"Berner Heerweg 110, 22159 Hamburg",12 Empfehlungen,5
Hans-Jürgen Raqué,Tierarztpraxis,Heute: 09:00–12:00Jetzt geöffnet,"Walter-Markov-Ring 5, 04288 Leipzig",11 Empfehlungen,5
Rafael Melner-Biniszkiewicz,no subtitle,Heute geschlossen,"Weberstraße 21, 45879 Gelsenkirchen",11 Empfehlungen,5
Dr. Tido Winkler und Barbara Richter,no subtitle,Heute: 10:00–12:00Jetzt geöffnet,"Fritz-Meyer-Scharffenberg-Weg 12a, 18109 Rostock",11 Empfehlungen,5
Dr. Heike Janosch,no subtitle,Heute geschlossen,"Gottfried-Keller-Straße 4, 01157 Dresden",11 Empfehlungen,5
Dr. Stephan Hesselmann,no subtitle,Heute geschlossen,"Kurfürstenstr. 134, 46147 Oberhausen",11 Empfehlungen,5
Dr. Stefan Hauck,no subtitle,Heute: 10:00–12:00Jetzt geöffnet,"Bedburger Weide 13, 47551 Bedburg-Hau",10 Empfehlungen,5
Dr. Siegfried Graf,no subtitle,Heute geschlossen,"Kardinal-Wendel-Str. 13, 81929 München",10 Empfehlungen,5
Maceij E. Wilk,no subtitle,Heute: 09:00–13:00Jetzt geöffnet,"Hägerweg 12, 33613 Bielefeld",10 Empfehlungen,5
Dr. Annemarie Leps,no subtitle,Heute geschlossen,"Mengeder Str. 17, 46731 Waltrop",10 Empfehlungen,5
Dr. Cornelia Maul und Sabine Herget,no subtitle,Heute: 10:00–12:00Jetzt geöffnet,"Schwarzstr. 3 (Eingang Lilienstr. am deutschen Museum), 81669 München",10 Empfehlungen,5
Tim Glabasnia und Dr. Karin Glabasnia,no subtitle,Heute geschlossen,"Seehofstr. 45, 96052 Bamberg",10 Empfehlungen,5
"Dr. Claudia Kreutzjans, Dr. Natalie Thurek, Dr. Nadja Wilhelmi",Tierärztliche Praxis für Kleintiere,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Erinstr. 27, 44575 Castrop-Rauxel",10 Empfehlungen,5
Oliviero Lombardi,no subtitle,Heute: 10:00–12:00Jetzt geöffnet,"Britzer Damm 13, 12347 Berlin",10 Empfehlungen,5
Dr. Frank Düsterhöft und Dr. Tanja Gerlach,no subtitle,Heute geschlossen,"Kurt-Schumacher Allee 46, 30851 Langenhagen",10 Empfehlungen,5
TÄ Juliane Kaftan und Anne Klötzer,no subtitle,Heute: 10:00–13:00Jetzt geöffnet,"Loschwitzer Str. 3, 01309 Dresden",10 Empfehlungen,5
Jens Cramer,no subtitle,Heute geschlossen,"Osterfeuerberg 1, 27777 Ganderkesee",9 Empfehlungen,5
Daniel Brandau und Britta Brandau,no subtitle,Heute geschlossen,"Sterkelshäuser Str. 3, 36211 Alheim",9 Empfehlungen,5
Max-Ulrich Röcker,TierGesundheitsZentrum Jena-West,Heute: 10:00–12:00Jetzt geöffnet,"Erfurter Str. 50, 07743 Jena",9 Empfehlungen,5
Dr. Thomas Göbel,no subtitle,Heute: 10:00–13:00Jetzt geöffnet,"Mecklenburgische Str. 27, 14197 Berlin",9 Empfehlungen,5
Cornelia Seithe,no subtitle,Heute geschlossen,"Uckermarkstr. 14, 12621 Berlin",9 Empfehlungen,5
Stefanie Behrens,no subtitle,Heute geschlossen,"Bahnhofstraße 27/28, 39179 Barleben",9 Empfehlungen,5
Dr. Claudia Watzel,no subtitle,Heute: 09:00–11:00Jetzt geöffnet,"Mont-Cenis-Str. 43, 44623 Herne",9 Empfehlungen,5
Dr. Julian Schlömer,no subtitle,Heute geschlossen,"Südstraße 85 (Ecke Wattenscheider Hellweg), 44867 Bochum",9 Empfehlungen,5
Uwe Lenk,Tierarztpraxis,Heute: 09:00–18:00Jetzt geöffnet,"Schönfließer Straße 1, 10439 Berlin",9 Empfehlungen,5
Britta Häsel,no subtitle,Heute: 09:00–11:30Jetzt geöffnet,"Kreuzweg 45, 35423 Lich",8 Empfehlungen,5
Tobias Krause,no subtitle,Heute geschlossen,"Sedanstr. 23, 12167 Berlin",8 Empfehlungen,5
Dr. Ricarda Häuser,no subtitle,Heute: 10:00–12:00Jetzt geöffnet,"Schürmannstr. 25a, 45136 Essen",8 Empfehlungen,5
Uta Döpke,no subtitle,(Bitte rufen Sie für die Öffnungszeiten in der Praxis an.),"Am Alten Freyhof 20, 30900 Wedemark",8 Empfehlungen,5
Dr. Bettina Bachem-Drießen,no subtitle,Heute: 09:00–11:00Jetzt geöffnet,"Donnerberg 22, 45357 Essen",8 Empfehlungen,5
